zh,eng,opus-mt,mbart50,m2m,opus-mt-sim,mbart50-sim,m2m-sim
心率依赖性束支传导阻滞,cardiac rate dependent bundle branch block,Heart rate dependency beaming conductive blockage,Heart rate dependent beam support conduction obstruction,The heart rate depends on the transmission blockage.,0.744285855,0.830573787,0.765081357
心动过缓依赖性束支阻滞,bradycardia dependent bundle branch block,The heart moves to slow down the dependency beams.,Pulmonary overdue dependence bundle obstruction,The heart is slowly dependent.,0.540156277,0.687603556,0.559566745
心动过速依赖性束支阻滞,tachycardia dependent bundle branch block,Carocardial hypervelocity dependency beaming.,Pulmonary overspeed dependence bundle obstruction,The heart moves too quickly depending on the blockage.,0.329100529,0.660749322,0.559820923
心率依赖性左束支阻滞,cardiac rate dependent left bundle branch block,Heart rate dependent left beam blockage,Heart rate dependent left beam support obstruction,Heart Rate Dependency Left Boundary,0.844945954,0.85728551,0.830138075
干扰性左束支传导障碍,interference left bundle branch disturbance,Disruptive left beam transmission barrier,Interfering Left Beam Support Conduction Disorder,Interference in the left-wing transmission disorder.,0.686789893,0.748798025,0.739912923
干扰性右束支传导障碍,interference right bundle branch disturbance,Disruptive right beam transmission disorder,Interfering Right Beam Support Conduction Disorder,Interference in the right-wing transmission disorder.,0.701053789,0.752126668,0.751698551
隐匿性右束支传导阻滞,concealed right bundle branch block,Concealment right beam transmission block.,Hidden Right Beam Support Conduction Delay,Hidden right-wing transmission blocks.,0.732044626,0.721676356,0.755844446
隐匿性左束支传导阻滞,concealed left bundle branch block,Concealment left beam transmission block.,Hidden left beam support conduction delay,Hidden left-wing transmission blocks,0.723679806,0.718815282,0.757926505
一度束支传导阻滞,first degree bundle branch block,"At one point, we're holding back.",One-time bundle support conduction delay,One time the blockage stops.,0.650761347,0.72479933,0.68842183
一度左束支传导阻滞,first degree left bundle branch block,"At one point, the left beam was blocked.",One-time left beam support conduction delay,One time the left-wing transmission stops.,0.781875588,0.75372693,0.75982713
一度右束支传导阻滞,first degree right bundle block,"At one point, the right beam was blocked.",One-time right beam support impedance,One time the right-wing transmission stops.,0.801000753,0.737967318,0.771010676
二度束支传导阻滞,second degree bundle branch block,Two-degree beam-and-diffusion blockage.,Two-degree beam support conduction delay,Two-time interruption stops.,0.633380856,0.740952106,0.579264269
二度右束支传导阻滞,second degree right bundle branch block,Two degrees right beam conductive blockage.,Two-degree right beam support conduction delay,Two times right-wing transmission stops.,0.755039521,0.799128284,0.716058155
二度左束支传导阻滞,second degree left bundle branch block,Two degrees left beam conductive blockage.,Two-degree left beam support conduction delay,Two times left-wing transmission stops.,0.751274513,0.795905043,0.709763115
文氏型束支传导阻滞,Wenckebach bundle branch block,Wen-Chang beam conductive blockage.,Wenji-type beam support conduction delay,Vancouver transmission stops.,0.408762921,0.528086009,0.425559652
束支内的文氏现象,intra bundle Wenckebach phenomenon,Wen's phenomenon in the beams.,Wenji phenomenon in bundles,The phenomenon within the shell.,0.419034882,0.718222689,0.481305001
束支传导阻滞的文氏现象,Wenckebach phenomenon of bundle branch block,"Wen's phenomenon, which is a delay in the transfer of beams.",Wenji's phenomenon of beam support transmission delay,The blocking of the phenomenon.,0.756707268,0.722850045,0.795850639
右束支阻滞的文氏现象,Wenckebach phenomenon of right bundle branch block,"Wen-Chu phenomenon, right beam blockage.",Wenji's phenomenon of right beam support obstruction,The right-wing block blocked phenomenon,0.63689276,0.808920095,0.824057315
二度Ⅰ型束支传导阻滞,second degree type Ⅰ bundle branch block,2-degree-I beam conductive blockage,Type II beam support conduction resistance,Two-time I-type transmission blockage,0.659728798,0.664185622,0.696521705
二度Ⅰ型单侧束支传导阻滞,second degree type Ⅰ unilateral bundle branch block,2-degree-I single-strength conductive blockage,2-degree I-type single-sided beam support conduction resistance,Two-degree type I single-sided transmission blockage,0.644595542,0.713720856,0.771491549
二度Ⅰ型左束支传导阻滞,second degree type Ⅰ left bundle branch block,2-degree-I left beam conductive blockage,Type II left beam support conduction resistance,Two-degree I type left-wing transmission blockage,0.725337536,0.726791952,0.812393224
二度Ⅰ型右束支传导阻滞,second degree type Ⅰ right bundle block,2-degree-I right beam conductive blockage,Type II right beam support conduction resistance,Second-type I right-wing transmission blockage,0.746166779,0.740612229,0.788111067
左束支阻滞的文氏现象,Wenckebach phenomenon of left bundle branch block,"Wen-Chu phenomenon, left beam blockage.",Wenji's phenomenon of left beam support obstruction,The left block blocked phenomenon.,0.625444089,0.805604604,0.847374082
直接显示性束支内文氏现象,intrabundle Wenckebach phenomenon demonstrating directly,Directly showing the phenomenon of sex beams in von Wirtschaftsprüfer.,The phenomenon of intravenous direct-display bundle,Directly showing the sexual bonding phenomenon.,0.711581492,0.700552664,0.784156407
卧位性P-R间期延长,clinostatic P-R interval prolongation,Post extension P-R interlocking period,Horizontal P-R Interval Extension,The length of the P-R interval,0.741197177,0.861798876,0.77136587
二度Ⅱ型束支传导阻滞,second degree type Ⅱ bundle branch block,2-degree-II beam conductive blockage,Type II beam support conduction resistance,Second-type transmission blockage.,0.628869084,0.664185622,0.734629323
二度Ⅱ型左束支传导阻滞,second degree type Ⅱ left bundle branch block,2-degree-II left beam conductive blockage,Type II left beam support conduction obstruction,Second-type II left-wing transmission blockage,0.696323553,0.736680577,0.765744679
二度Ⅱ型右束支传导阻滞,second degree type Ⅱ right bundle branch block,2-degree-II right beam conductive blockage,Type II right beam support conduction obstruction,Type II right-wing transmission blockage,0.700955663,0.743084099,0.74551786
三度束支传导阻滞,third degree bundle branch block,Three-degree beam conductive blockage.,Three-degree beam support conduction delay,Three-degree transmission stops,0.7083882,0.72941599,0.68887215
三度房室传导阻滞,third degree atrio-ventricular block,Three-degree room transmission block.,Three-degree chamber conductivity delay,Three-degree room transmission blocks,0.760900964,0.743884662,0.751976084
慢性房室传导阻滞,chronic atrioventricular block,Chronic room transfer blockage,Chronic ventricular conduction obstruction,Chronic room transmission blocks.,0.658336888,0.808481802,0.62840338
三度右束支传导阻滞,third degree right bundle branch block,Three degrees right beam conductive blockage.,3-degree right beam support conduction delay,Three-degree right-wing transmission stops,0.745670029,0.751822513,0.740854823
三度左束支传导阻滞,third degree left bundle branch block,Three degrees left beam conductive block.,3-degree left beam support conduction delay,Three-degree left-wing transmission blocks,0.791858301,0.748211793,0.777600932
不完全性束支传导阻滞,incomplete bundle branch block,Incomplete binding conductive blockage,Incomplete conveyor support impedance,The incomplete transmission blockage.,0.594791773,0.553062837,0.679183891
不完全性双侧束支传导阻滞,incomplete bilateral bundle branch block,Incomplete bipartite beam transmission blockage,Incomplete double-sided beam support conduction obstruction,Incomplete dual-sided transmission blockage,0.624285279,0.664423637,0.643749741
不完全性右束支传导阻滞,incomplete right bundle branch block,Incomplete right beam transmission block.,Incomplete right beam support conduction obstruction,Uncompleted right-wing transmission blockage,0.786366498,0.716678493,0.683184924
不完全性左束支传导阻滞,incomplete left bundle branch block,Incomplete left beam transmission block.,Incomplete left beam support conduction obstruction,Uncompleted left-wing transmission blockage,0.782344738,0.718829994,0.686422676
几乎完全性右束支传导阻滞,approximate complete right bundle branch block,It's almost complete right beam transmission block.,Almost complete right beam support conduction delay,Almost complete right-wing transmission blockage.,0.794263285,0.768007781,0.746123075
几乎完全性左束支传导阻滞,approximate complete left bundle branch block,It's almost complete left beam transmission block.,Almost complete left beam support conduction delay,Almost complete left-wing transmission blocks.,0.782485242,0.761258136,0.775868927
高度左束支传导阻滞,high grade left bundle branch block,High-altitude left beam conductive blockage,High left beam support conduction delay,High-left transmission blocks.,0.657122972,0.728348683,0.777320631
高度右束支传导阻滞,high grade right bundle branch block,High right beam conductive blockage,High Right Beam Supported Transmission Delay,High-right transmission blockage.,0.677190382,0.722161717,0.718073259
完全性左束支传导阻滞,complete left bundle branch block,Complete left beam conductive blockage,Complete left beam support conduction obstruction,Complete left-wing transmission blockage,0.658332675,0.707046887,0.730986587
完全性束支传导阻滞,complete bundle branch block,Full binder conductive blockage.,Complete beam support conduction delay,Complete transmission blockage.,0.557392751,0.637807758,0.624896965
完全性右束支传导阻滞,complete right bundle branch block,Full right beam transmission block.,Full Right Beam Support Conduction Delay,The full-fledged right-wing transmission blocks,0.76607103,0.711253551,0.767249299
分支传导阻滞,fascicular block,Branch Transfer Block,Branch transmission obstruction,The transmission stops.,0.735485149,0.424561931,0.494525453
